,tsne_0,tsne_1,sampledornot
647,3.9057682,76.00361,Not sampled
648,-35.581337,67.06549,Not sampled
649,20.746975,55.75916,sampled
650,13.510894,70.82284,Not sampled
651,-9.7414055,68.07268,Not sampled
652,17.26183,88.657814,Not sampled
653,-3.3164217,88.76246,Not sampled
654,17.758308,60.008972,Not sampled
655,21.944294,-6.787879,sampled
656,40.634777,-11.446681,sampled
657,16.250938,22.900938,Not sampled
658,-44.732895,16.908878,sampled
659,67.88343,-0.19478723,sampled
660,9.099734,21.152277,Not sampled
661,21.797775,-6.3056564,sampled
662,-1.4531964,6.6792736,sampled
663,-47.713844,-2.9249318,Not sampled
664,-44.751476,42.419956,Not sampled
665,40.634773,-11.44668,sampled
666,39.925392,-11.692441,sampled
667,-43.321266,-4.6301384,Not sampled
668,-66.07176,-0.6951004,sampled
669,-11.696659,35.731316,sampled
670,-43.508747,16.563992,sampled
671,3.9057682,76.00361,Not sampled
672,-2.092141,5.5722933,sampled
673,20.746975,55.75916,sampled
674,13.518587,70.7937,Not sampled
675,-10.642662,68.58877,Not sampled
676,17.261843,88.657845,Not sampled
677,-3.6055691,88.762184,Not sampled
678,-37.920155,70.821724,Not sampled
679,-36.04298,67.776825,Not sampled
680,16.250938,22.900938,Not sampled
681,-43.46243,16.910711,sampled
682,-33.16856,64.89938,Not sampled
683,67.88343,-0.19478723,sampled
684,9.099725,21.152208,Not sampled
685,-36.951782,66.23709,Not sampled
686,-30.82017,65.5083,Not sampled
687,-36.788345,63.604496,Not sampled
688,-40.411034,67.6379,Not sampled
689,-47.713356,-2.922511,Not sampled
690,-34.51221,63.680206,Not sampled
691,39.94698,-11.717145,sampled
692,39.545563,-11.146694,sampled
693,-43.322716,-4.6362996,Not sampled
694,-66.01662,-1.4278576,sampled
695,-11.7017975,35.727882,sampled
696,-34.20535,69.837616,Not sampled
697,3.9057682,76.003624,Not sampled
698,-35.581196,67.06541,Not sampled
699,20.746975,55.75916,sampled
700,13.510894,70.82284,Not sampled
701,-50.27384,-40.83124,Not sampled
702,-9.845027,67.9672,Not sampled
703,17.261875,88.65796,Not sampled
704,-3.553616,88.65626,Not sampled
705,40.282867,-11.0620985,sampled
706,16.250938,22.900938,Not sampled
707,-44.177032,17.056519,sampled
708,67.20594,-0.5685307,sampled
709,9.099725,21.152208,Not sampled
710,21.622656,-6.755078,sampled
711,-4.9101095,-35.182117,sampled
712,-47.713894,-2.9242928,Not sampled
713,-45.167114,42.23858,Not sampled
714,40.900097,-12.941462,sampled
715,39.531464,-11.2022295,sampled
716,-43.31785,-4.63902,Not sampled
717,-66.03095,-1.425631,sampled
718,-11.69985,35.728714,sampled
719,-44.028736,16.184624,sampled
720,3.9057682,76.00361,Not sampled
721,-2.576482,5.7857537,sampled
722,20.829058,56.44588,sampled
723,13.518587,70.7937,Not sampled
724,-9.845027,67.9672,Not sampled
725,17.261875,88.65796,Not sampled
726,-3.3164217,88.76246,Not sampled
727,16.251036,22.900267,Not sampled
728,-44.99509,17.567352,sampled
729,67.88343,-0.19478723,sampled
730,9.099734,21.152266,Not sampled
731,21.08586,-7.630365,sampled
732,-5.2961683,-35.381134,sampled
733,-47.713356,-2.922511,Not sampled
734,-44.694695,42.544807,Not sampled
735,40.944828,-12.969704,sampled
736,40.634773,-11.44668,sampled
737,-43.317448,-4.6430063,Not sampled
738,-66.60251,-0.7768087,sampled
739,-11.700486,35.728706,sampled
740,-43.758133,16.65672,sampled
741,3.9057899,76.00366,Not sampled
